Date,MSFT,AAPL,XOM,BP,SBUX
12/1/2005,-0.053933809,0.058279864,-0.027485383,-0.016825666,-0.014555155
1/1/2006,0.073698091,0.049128308,0.110776116,0.118647294,0.054786007
2/1/2006,-0.046537073,-0.097577335,-0.055369855,-0.0849638,0.136051749
3/1/2006,0.015957464,-0.088007511,0.030085992,0.045400041,0.035432951
4/1/2006,-0.119300445,0.115370591,0.035827798,0.067037315,-0.009612711
5/1/2006,-0.064124399,-0.163547317,-0.035006529,-0.041828152,-0.044440025
6/1/2006,0.032185429,-0.042726614,0.012215591,-0.00813545,0.057501663
7/1/2006,0.032096976,0.17114229,0.09908112,0.040954387,-0.098147967
8/1/2006,0.065940798,-0.001620146,-0.001033859,-0.063619318,-0.098792541
9/1/2006,0.065901045,0.126246358,-0.00382978,-0.028531742,0.09352022
10/1/2006,0.048528827,0.051890621,0.062393657,0.022912885,0.103155379
11/1/2006,0.022387923,0.122649906,0.072756641,0.014499684,-0.067385677
12/1/2006,0.020299362,-0.077318858,0.001980026,-0.005807868,0.003677065
1/1/2007,0.032941464,0.010435586,-0.033572877,-0.054986956,-0.013644625
2/1/2007,-0.091203715,-0.01315044,-0.033203736,-0.031510325,-0.122876189
3/1/2007,-0.007244897,0.093578726,0.055507954,0.060848489,0.014777169
4/1/2007,0.07164411,0.071536996,0.050776396,0.038923581,-0.010901091
5/1/2007,0.02474191,0.194191459,0.046640505,-0.00461583,-0.073909867
6/1/2007,-0.037330261,0.006989554,0.012808031,0.08286929,-0.093436921
7/1/2007,-0.016421966,0.076633185,0.01479238,-0.038721852,0.016628872
8/1/2007,-0.009009163,0.049743702,0.007023574,-0.029835633,0.032088118
9/1/2007,0.028590973,0.102778868,0.080643926,0.038709518,-0.05024306
10/1/2007,0.222736249,0.213255812,-0.006177547,0.117414797,0.018154943
11/1/2007,-0.091243963,-0.041545871,-0.031247239,-0.069689417,-0.131605589
12/1/2007,0.061120574,0.083456105,0.053438762,0.014076821,-0.133348251
1/1/2008,-0.088033395,-0.38073308,-0.089138399,-0.13468408,-0.079269372
2/1/2008,-0.18109511,-0.079464276,0.015170194,0.014283715,-0.050431091
3/1/2008,0.046345959,0.137861579,-0.024018213,-0.055077607,-0.027058814
4/1/2008,0.004920375,0.192432928,0.09565394,0.182458907,-0.075339855
5/1/2008,-0.007037346,0.081655385,-0.047415467,-0.003854614,0.114010846
6/1/2008,-0.025343915,-0.119798302,-0.002665662,-0.030125211,-0.144666718
7/1/2008,-0.067280868,-0.052035478,-0.091426118,-0.124272366,-0.069038281
8/1/2008,0.05925186,0.064440145,-0.005235174,-0.06401786,0.057536475
9/1/2008,-0.018250945,-0.399818136,-0.024716976,-0.124753089,-0.045357619
10/1/2008,-0.178358082,-0.054884056,-0.046655058,-0.009412345,-0.124446113
11/1/2008,-0.099258889,-0.149282742,0.078214582,-0.020530698,-0.385483999
12/1/2008,-0.032587983,-0.082284431,0.001733604,-0.022866475,0.057656507
1/1/2009,-0.128254131,0.054492653,-0.042870165,-0.095802727,-0.002116253
2/1/2009,-0.057158646,-0.009139959,-0.118993531,-0.101782467,-0.031202412
3/1/2009,0.135632051,0.162989505,0.007967572,0.064554105,0.194091699
4/1/2009,0.097929758,0.179828778,-0.021221862,0.057185697,0.263541097
5/1/2009,0.030621896,0.076325478,0.039411006,0.153410711,-0.004853001
6/1/2009,0.135484154,0.047593633,0.013992462,-0.019783695,-0.035364345
7/1/2009,-0.010572644,0.137289495,0.006842453,0.04831091,0.242395853
8/1/2009,0.046925251,0.029073375,-0.017772946,0.027787592,0.070347119
9/1/2009,0.048099305,0.097032564,-0.001750406,0.050675288,0.083803031
10/1/2009,0.07524604,0.0168521,0.043633877,0.061740146,-0.084329355
11/1/2009,0.05881995,0.05876919,0.046349085,0.009841879,0.143100918
12/1/2009,0.040146502,0.052710523,-0.090319581,0.027837103,0.051612764
1/1/2010,-0.078458147,-0.092770044,-0.056718608,-0.032433354,-0.056647894
2/1/2010,0.017238518,0.063346831,0.008807641,-0.053245981,0.05012193
3/1/2010,0.026060469,0.138430874,0.03650942,0.085159489,0.05766751
4/1/2010,0.041791006,0.105279802,0.011725486,-0.090154598,0.068085746
5/1/2010,-0.168662588,-0.016256137,-0.114137613,-0.194087447,0.000663784
6/1/2010,-0.109943564,-0.021046694,-0.050935315,-0.396887269,-0.063380411
7/1/2010,0.114832991,0.022485986,0.044718592,0.286729578,0.022381647
8/1/2010,-0.095039167,-0.056575558,-0.009596841,-0.099399664,-0.078233711
9/1/2010,0.047862323,0.154620503,0.051471273,0.167230656,0.111258292
10/1/2010,0.085274193,0.058950304,0.073310494,-0.009028005,0.1113699
11/1/2010,-0.054316748,0.033231236,0.045138052,-0.019802311,0.068993246
12/1/2010,0.105888299,0.036014297,0.056188854,0.099166357,0.053021031
1/1/2011,-0.006470428,0.050654369,0.098389068,0.072051884,-0.018850912
